model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,is_first_crossing_0.01,is_first_crossing_0.02,is_first_crossing_0.05,is_first_crossing_0.1,is_tunnel_entrance_0.01,is_tunnel_entrance_0.02,is_tunnel_entrance_0.05,is_tunnel_entrance_0.1,n_probe_params,test_loss,test_loss_ci_hi,test_loss_ci_lo,test_loss_delta_ci_hi,test_loss_delta_ci_lo,test_loss_delta_vs_last,test_loss_point,test_mae,test_mae_ci_hi,test_mae_ci_lo,test_mae_delta_ci_hi,test_mae_delta_ci_lo,test_mae_delta_vs_last,test_mae_point,test_mase,test_mase_ci_hi,test_mase_ci_lo,test_mase_delta_ci_hi,test_mase_delta_ci_lo,test_mase_delta_vs_last,test_mase_point,test_ratio_to_final,test_suffix_excursion,test_wql,test_wql_ci_hi,test_wql_ci_lo,test_wql_delta_ci_hi,test_wql_delta_ci_lo,test_wql_delta_vs_last,test_wql_point,train_loss,val_loss,val_ratio_to_final,val_suffix_excursion,wd_at_grid_max,wd_at_grid_min,weight_decay
chronos2,m4_hourly,M4,10,L10,block,block_depth,True,10,0.8333333333333334,0.8333333333333334,False,False,False,False,False,False,False,False,False,False,False,12304,0.12431574406685265,0.1328793176709326,0.11600298070995747,-0.0012196082429860842,-0.005587385063066733,-0.003196898719850391,0.12431574406685265,368.1447165328438,531.7465999332378,228.58063151898543,-5.722780553535221,-36.23377734149445,-19.28775744443186,368.1447165328438,2.7348347595348685,3.143302255646911,2.363114033745234,-0.025368729607522292,-0.09323829531694061,-0.057905943762498246,2.7348347595348685,1.0263947258636041,0.02639472586360414,0.07531746712390924,0.08482573131355772,0.06686113993145217,-0.001394557400025657,-0.006437356838916955,-0.003946016259302548,0.07531746712390924,0.09394828235220105,0.11051983194326172,0.9953484238462517,0.0,False,False,30.0
chronos2,m4_hourly,M4,11,L11,block,block_depth,True,11,0.9166666666666666,0.9166666666666666,False,False,False,False,False,False,False,False,False,False,False,12304,0.12155731201513123,0.12961445814354047,0.1138769528480204,0.0011626730317548539,-0.0022074877028531183,-0.0004384666681289673,0.12155731201513123,335.5257838466916,479.6492356502829,210.36606225234192,27.836830251035558,2.7430398979335564,13.33117524172036,335.5257838466916,2.776023700245737,3.1798691470127345,2.4141353514512764,-0.03134074076405565,-0.1717876721156723,-0.09909488447336656,2.776023700245737,1.0036201358002776,0.0036201358002776463,0.06864407136437212,0.07861791939090514,0.060817455625307444,0.004711466264318568,0.0007336047080394925,0.002727379500234578,0.06864407136437212,0.09477187681093363,0.10920568892575858,0.9835131707683079,0.0,False,False,30.0
chronos2,m4_hourly,M4,12,L12,block,block_depth,True,12,1.0,1.0,False,True,False,False,False,False,False,False,False,False,False,12304,0.12111884534700226,0.12918011166070026,0.11340628733062222,0.0,0.0,0.0,0.12111884534700226,348.85695908841194,503.48818243081763,214.60234557479237,0.0,0.0,0.0,348.85695908841194,2.6769288157723703,3.070520977895371,2.318186956671479,0.0,0.0,0.0,2.6769288157723703,1.0,0.0,0.0713714508646067,0.08159916166411507,0.06297408488093054,0.0,0.0,0.0,0.0713714508646067,0.0943949124141138,0.1110363258688732,1.0,0.0,False,False,45.0
chronos2,m4_hourly,M4,13,L12+LN,final_norm,head_input_diagnostic,False,12,,,False,False,True,False,False,False,False,False,False,False,False,12304,0.11026668841488489,0.11856553315412509,0.10237970360952878,0.012437189714129993,0.009324936878348471,0.010852156932117371,0.11026668841488489,303.8107065045515,432.5146604617223,192.00866578815925,75.38968245245067,21.437928223585384,45.04625258386045,303.8107065045515,2.266069022910611,2.5882608413648924,1.9705371565184593,0.4866267862871895,0.3411818670294236,0.4108597928617592,2.266069022910611,,,0.06215559227510133,0.07225656868345265,0.054503823787509106,0.012009387903419133,0.006310689467523117,0.009215858589505362,0.06215559227510133,0.08381490583880304,0.09893406823789345,,,False,False,30.0
chronos2,monash_electricity_hourly,Electricity,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,12304,0.36183556180646403,0.36828209904968057,0.355214171023428,-0.2111028859388254,-0.22795145536225486,-0.2195747116907635,0.36183556180646403,671.4031480257277,1106.717179300111,386.70949714788713,-238.78877001330954,-719.0143060598382,-428.0159039572038,671.4031480257277,2.492486228413703,2.610442348649296,2.3742354886554344,-1.3980509456906594,-1.5843626467740894,-1.4910308088562074,2.492486228413703,2.5434654826832803,1.5434654826832803,0.27547900212292664,0.3090373101780856,0.2378493217423256,-0.14588284640105292,-0.20247274239477497,-0.17561638556743067,0.27547900212292664,0.3652917395961849,0.3615428015930962,3.7357942468173104,2.7357942468173104,False,True,1e-05
chronos2,monash_electricity_hourly,Electricity,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,False,False,False,False,False,False,False,False,12304,0.28119144503396887,0.28765753911566416,0.27512154422757285,-0.13252403548570305,-0.14561127288629594,-0.13893059491826834,0.28119144503396887,513.3325401918027,834.5541626386594,301.3188234665415,-153.77543702182794,-449.4775475117517,-269.9452961232788,513.3325401918027,1.9602813483546446,2.0483162973483937,1.8758819245482357,-0.8970558460732068,-1.0213537489460434,-0.958825928797149,1.9602813483546446,1.9765905012185454,0.9765905012185454,0.21062209247169944,0.2346125975578702,0.1840561981454992,-0.09073422142401269,-0.1286645721403368,-0.11075947591620347,0.21062209247169944,0.25691578266781406,0.27156529586961253,2.8060635296142253,1.8060635296142253,False,False,0.3
chronos2,monash_electricity_hourly,Electricity,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,12304,0.17713637263265275,0.1855428184553241,0.16969499992747003,-0.0296863540569818,-0.040557820865358335,-0.03487552251695222,0.17713637263265275,294.1376071717846,436.3525414397413,188.81364751916308,-28.473082486659877,-75.6251339623766,-50.75036310326081,294.1376071717846,1.2195737887200762,1.27730464567063,1.168699934019853,-0.18778882978503855,-0.25056362096114027,-0.21811836916258054,1.2195737887200762,1.245151933849601,0.2451519338496011,0.12068566367133515,0.13467206093099363,0.11168825828993746,-0.009413371601174501,-0.03422097907837168,-0.020823047115839183,0.12068566367133515,0.13500606651595623,0.16560287415298797,1.711161892287989,0.711161892287989,False,False,0.01
chronos2,monash_electricity_hourly,Electricity,3,L3,block,block_depth,True,3,0.25,0.25,False,False,False,False,False,False,False,False,False,False,False,12304,0.14550721658152024,0.15409448330525224,0.13795953032539318,0.001172989674751415,-0.007883853293983771,-0.0032463664658197167,0.14550721658152024,229.85295963450014,338.3497742195993,148.10066474467067,58.86859543479378,-15.59937844377294,13.534284434023675,229.85295963450014,0.9952843674601288,1.0516793647505007,0.9475400975561551,0.02899433869574022,-0.018796476727370885,0.0061710520973667915,0.9952843674601288,1.0228198162964683,0.0663836917852636,0.09430945348008268,0.10622579811583284,0.08532721046705136,0.01789129735972277,-0.007477122053623366,0.005553163075413287,0.09430945348008268,0.11753947868237707,0.12029229417329526,1.2429711185753922,0.24297111857539222,False,False,1.0
chronos2,monash_electricity_hourly,Electricity,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,False,False,False,False,False,False,False,False,12304,0.14864507397167556,0.15669087457491923,0.14132448330180336,-0.002703630275498267,-0.010280863458703047,-0.006384223855975035,0.14864507397167556,241.0755528192699,365.8587303719575,151.349628788552,28.56752044180775,-15.003562936360932,2.3116912492539257,241.0755528192699,1.0349056924500846,1.0926855166898968,0.9842655287474791,-0.014588298845214284,-0.05406549510519003,-0.03345027289258895,1.0349056924500846,1.0448768853186436,0.0663836917852636,0.0989141217496057,0.10948409004088212,0.09008421609731863,0.008391053002089243,-0.007536497330416772,0.0009484948058902654,0.0989141217496057,0.11134241409653228,0.11182240863110272,1.155452436028545,0.15545243602854497,False,False,1.0
chronos2,monash_electricity_hourly,Electricity,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,False,False,False,False,False,False,False,False,12304,0.15170465054289076,0.159933944726505,0.14416330524556736,-0.006105515329195694,-0.0130318358732487,-0.00944380042719023,0.15170465054289076,245.48799343892244,365.16191727825435,156.72154758808279,32.865872767402834,-24.429795322573685,-2.1007493703986313,245.48799343892244,1.0539969722608469,1.1115057097203325,1.0019097475706868,-0.03381081102499719,-0.07311741475708021,-0.05254155270335126,1.0539969722608469,1.0663836917852636,0.0663836917852636,0.10072456118886489,0.11360268801898561,0.09112303542768016,0.009854244198477956,-0.011007660043525724,-0.0008619446333689162,0.10072456118886489,0.10671628464863153,0.11035807841663597,1.140321623392971,0.14032162339297094,False,False,0.3
