model,dataset,display_name,definition,tolerance,is_headline_tolerance,tunnel_layer,tunnel_index,tunnel_depth_axis_index,normalized_tunnel,n_depth_points,reference_layer,val_ratio_at_tunnel,test_ratio_at_tunnel,suffix_excursion_at_tunnel,first_crossing_layer,first_crossing_depth_axis_index,sustained_minus_first_crossing,headline_val_ratio_at_tunnel,headline_test_ratio_at_tunnel
timesfm3,monash_traffic,Traffic,sustained_suffix_v1,0.01,False,L15,15,15,0.75,21,L20,0.995819091225206,0.9503832964393855,0.00030747357700677824,Emb,0,15,1.017815606292326,1.0861720495121898
timesfm3,monash_traffic,Traffic,sustained_suffix_v1,0.02,False,L15,15,15,0.75,21,L20,0.995819091225206,0.9503832964393855,0.00030747357700677824,Emb,0,15,1.017815606292326,1.0861720495121898
timesfm3,monash_traffic,Traffic,sustained_suffix_v1,0.05,True,L12,12,12,0.6,21,L20,1.017815606292326,1.0861720495121898,0.03422976387789256,Emb,0,12,1.017815606292326,1.0861720495121898
timesfm3,monash_traffic,Traffic,sustained_suffix_v1,0.1,False,Emb,0,0,0.0,21,L20,0.986245066286302,1.151462848121003,0.07781738892462586,Emb,0,0,1.017815606292326,1.0861720495121898
tirex,m4_hourly,M4,sustained_suffix_v1,0.01,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0,1.0
tirex,m4_hourly,M4,sustained_suffix_v1,0.02,False,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0,1.0
tirex,m4_hourly,M4,sustained_suffix_v1,0.05,True,L12,12,12,1.0,13,L12,1.0,1.0,0.0,L12,12,0,1.0,1.0
tirex,m4_hourly,M4,sustained_suffix_v1,0.1,False,L11,11,11,0.9166666666666666,13,L12,1.067975940436829,1.0439265214455222,0.06797594043682897,L11,11,0,1.0,1.0
tirex,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,0.9972382954606991,1.0463299575822826,0.0,L11,11,0,0.9972382954606991,1.0463299575822826
tirex,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,0.9972382954606991,1.0463299575822826,0.0,L11,11,0,0.9972382954606991,1.0463299575822826
tirex,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.05,True,L11,11,11,0.9166666666666666,13,L12,0.9972382954606991,1.0463299575822826,0.0,L11,11,0,0.9972382954606991,1.0463299575822826
tirex,monash_electricity_hourly,Electricity,sustained_suffix_v1,0.1,False,L10,10,10,0.8333333333333334,13,L12,1.0897362494645007,1.08129700534239,0.08973624946450065,L10,10,0,0.9972382954606991,1.0463299575822826
tirex,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.01,False,L11,11,11,0.9166666666666666,13,L12,0.9984297494112815,0.9980297906223204,0.0,L11,11,0,1.0222690792359754,1.015135345795383
tirex,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.02,False,L11,11,11,0.9166666666666666,13,L12,0.9984297494112815,0.9980297906223204,0.0,L11,11,0,1.0222690792359754,1.015135345795383
tirex,uber_tlc_hourly,Uber TLC,sustained_suffix_v1,0.05,True,L10,10,10,0.8333333333333334,13,L12,1.0222690792359754,1.015135345795383,0.02226907923597543,L10,10,0,1.0222690792359754,1.015135345795383
