source_dataset,target_dataset,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_best_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
monash_electricity_hourly,wind_farms_hourly,0,True,q9,1,0.743262161474961,0.44056272373099536,1.033611531302833,True,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,2,-0.1632211274367119,-0.5911677770746192,0.24984629420888943,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,3,0.04001669626969484,-0.30505290442344335,0.37964164103307746,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,4,-0.5413018644773047,-0.8276406390178556,-0.250080980476077,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,5,-0.3945441007614141,-0.6672716558953908,-0.1209132447887683,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,6,-0.7471766471862793,-1.0212534973220437,-0.4790667713518417,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,7,-0.4946334706819977,-0.7209711254463267,-0.2678769163972499,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,8,-0.6519211083192094,-0.8872183432060203,-0.42279370270658184,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,9,-0.6347030203159045,-0.8480611738539634,-0.4236341304182858,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,10,-0.796487300946163,-0.9866338926412487,-0.6016611277631462,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,11,-0.4314569267859829,-0.6009272912378518,-0.26306887711536414,False,False,False,261,650,5000
monash_electricity_hourly,wind_farms_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,261,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,0,0.9810829136921813,0.6819400349717675,1.2656250597370178,True,True,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,1,0.46729610919952425,0.2519462000324218,0.6623300229748562,True,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,2,0.4575333052415118,0.2549636877794045,0.6309371465675282,True,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,3,0.9579227095383871,0.7616007886315791,1.1454500809980646,True,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,4,-0.08913961593921282,-0.21576433959455615,0.03244024099000283,False,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,5,0.30014243345994274,0.13037701744697044,0.4517390622437536,True,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,6,-0.1389524331459624,-0.28991139640855895,-0.002143681859275224,False,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,7,-0.49829483949221043,-0.6570669223202544,-0.35809571025723336,False,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,8,-0.7663389591070322,-0.9676906287017409,-0.5840830161019832,False,False,False,124,650,5000
