dataset,short,kind,layer,layer_label,condition,experiment,mase,mase_ci_lo,mase_ci_hi
m4_hourly,M4,PT-ID,7,L7,zero_shot,ext_v5,2.542533,2.192821,2.927777
m4_hourly,M4,PT-ID,7,L7,linear_adapter,ext_v5,1.183107,1.061485,1.321461
m4_hourly,M4,PT-ID,7,L7,linear_probe_q9,ext_v4,3.573562,,
m4_hourly,M4,PT-ID,8,L8,zero_shot,ext_v5,2.539202,2.203272,2.915128
m4_hourly,M4,PT-ID,8,L8,linear_adapter,ext_v5,1.064903,0.959157,1.189159
m4_hourly,M4,PT-ID,8,L8,linear_probe_q9,ext_v4,3.608872,,
m4_hourly,M4,PT-ID,9,L9,zero_shot,ext_v5,3.968652,3.369453,4.629195
m4_hourly,M4,PT-ID,9,L9,linear_adapter,ext_v5,1.041044,0.932271,1.175706
m4_hourly,M4,PT-ID,9,L9,linear_probe_q9,ext_v4,3.532353,,
m4_hourly,M4,PT-ID,10,L10,zero_shot,ext_v5,4.962198,4.164504,5.841286
m4_hourly,M4,PT-ID,10,L10,linear_adapter,ext_v5,1.197309,1.067208,1.349667
m4_hourly,M4,PT-ID,10,L10,linear_probe_q9,ext_v4,3.825068,,
m4_hourly,M4,PT-ID,11,L11,zero_shot,ext_v5,6.189318,5.190164,7.29403
m4_hourly,M4,PT-ID,11,L11,linear_adapter,ext_v5,1.125041,1.011763,1.25513
m4_hourly,M4,PT-ID,11,L11,linear_probe_q9,ext_v4,4.30107,,
m4_hourly,M4,PT-ID,12,L12,zero_shot,ext_v5,0.928172,0.84658,1.016871
m4_hourly,M4,PT-ID,12,L12,linear_adapter,ext_v5,0.933395,0.851884,1.023557
m4_hourly,M4,PT-ID,12,L12,linear_probe_q9,ext_v4,4.137431,,
m4_hourly,M4,PT-ID,13,L12+RMS,native,ext_v5,0.928172,0.84658,1.016871
m4_hourly,M4,PT-ID,13,L12+RMS,zero_shot,ext_v5,0.928172,0.84658,1.016871
m4_hourly,M4,PT-ID,13,L12+RMS,linear_adapter,ext_v5,0.928172,0.84658,1.016871
m4_hourly,M4,PT-ID,13,L12+RMS,linear_probe_q9,ext_v4,3.711017,,
wind_farms_hourly,WindFarms,PT-ID,0,Emb,zero_shot,ext_v5,5.603507,1.998059,12.581228
wind_farms_hourly,WindFarms,PT-ID,0,Emb,linear_adapter,ext_v5,5.397993,1.795879,12.378805
wind_farms_hourly,WindFarms,PT-ID,0,Emb,linear_probe_q9,ext_v4,5.570347,,
wind_farms_hourly,WindFarms,PT-ID,1,L1,zero_shot,ext_v5,5.30046,1.709785,12.271644
wind_farms_hourly,WindFarms,PT-ID,1,L1,linear_adapter,ext_v5,4.752938,1.179688,11.703231
wind_farms_hourly,WindFarms,PT-ID,1,L1,linear_probe_q9,ext_v4,5.297955,,
wind_farms_hourly,WindFarms,PT-ID,2,L2,zero_shot,ext_v5,5.214972,1.623525,12.185872
wind_farms_hourly,WindFarms,PT-ID,2,L2,linear_adapter,ext_v5,4.501979,0.946912,11.44695
wind_farms_hourly,WindFarms,PT-ID,2,L2,linear_probe_q9,ext_v4,5.080291,,
wind_farms_hourly,WindFarms,PT-ID,3,L3,zero_shot,ext_v5,5.120602,1.537413,12.080156
wind_farms_hourly,WindFarms,PT-ID,3,L3,linear_adapter,ext_v5,4.436778,0.881101,11.382149
wind_farms_hourly,WindFarms,PT-ID,3,L3,linear_probe_q9,ext_v4,4.901109,,
wind_farms_hourly,WindFarms,PT-ID,4,L4,zero_shot,ext_v5,5.027934,1.45423,11.979262
wind_farms_hourly,WindFarms,PT-ID,4,L4,linear_adapter,ext_v5,4.431862,0.874121,11.375365
wind_farms_hourly,WindFarms,PT-ID,4,L4,linear_probe_q9,ext_v4,4.802629,,
wind_farms_hourly,WindFarms,PT-ID,5,L5,zero_shot,ext_v5,4.91464,1.355782,11.859291
wind_farms_hourly,WindFarms,PT-ID,5,L5,linear_adapter,ext_v5,4.423759,0.869667,11.366938
wind_farms_hourly,WindFarms,PT-ID,5,L5,linear_probe_q9,ext_v4,4.669592,,
wind_farms_hourly,WindFarms,PT-ID,6,L6,zero_shot,ext_v5,4.865868,1.311091,11.801656
wind_farms_hourly,WindFarms,PT-ID,6,L6,linear_adapter,ext_v5,4.523135,0.971745,11.462853
wind_farms_hourly,WindFarms,PT-ID,6,L6,linear_probe_q9,ext_v4,4.664187,,
wind_farms_hourly,WindFarms,PT-ID,7,L7,zero_shot,ext_v5,4.786988,1.233764,11.72708
wind_farms_hourly,WindFarms,PT-ID,7,L7,linear_adapter,ext_v5,4.459625,0.904068,11.397144
wind_farms_hourly,WindFarms,PT-ID,7,L7,linear_probe_q9,ext_v4,4.660183,,
wind_farms_hourly,WindFarms,PT-ID,8,L8,zero_shot,ext_v5,4.847889,1.294002,11.79081
wind_farms_hourly,WindFarms,PT-ID,8,L8,linear_adapter,ext_v5,4.514926,0.957685,11.455075
wind_farms_hourly,WindFarms,PT-ID,8,L8,linear_probe_q9,ext_v4,4.69383,,
wind_farms_hourly,WindFarms,PT-ID,9,L9,zero_shot,ext_v5,4.787356,1.233047,11.724747
wind_farms_hourly,WindFarms,PT-ID,9,L9,linear_adapter,ext_v5,4.496147,0.934015,11.443469
wind_farms_hourly,WindFarms,PT-ID,9,L9,linear_probe_q9,ext_v4,4.655656,,
wind_farms_hourly,WindFarms,PT-ID,10,L10,zero_shot,ext_v5,4.540242,0.989921,11.472569
wind_farms_hourly,WindFarms,PT-ID,10,L10,linear_adapter,ext_v5,4.538028,0.983851,11.478092
wind_farms_hourly,WindFarms,PT-ID,10,L10,linear_probe_q9,ext_v4,4.990007,,
wind_farms_hourly,WindFarms,PT-ID,11,L11,zero_shot,ext_v5,4.667612,1.11393,11.603815
wind_farms_hourly,WindFarms,PT-ID,11,L11,linear_adapter,ext_v5,4.515183,0.951699,11.463215
wind_farms_hourly,WindFarms,PT-ID,11,L11,linear_probe_q9,ext_v4,5.005583,,
wind_farms_hourly,WindFarms,PT-ID,12,L12,zero_shot,ext_v5,4.372748,0.811479,11.313615
wind_farms_hourly,WindFarms,PT-ID,12,L12,linear_adapter,ext_v5,4.425817,0.86101,11.372409
wind_farms_hourly,WindFarms,PT-ID,12,L12,linear_probe_q9,ext_v4,4.943174,,
wind_farms_hourly,WindFarms,PT-ID,13,L12+RMS,native,ext_v5,4.372748,0.811479,11.313615
wind_farms_hourly,WindFarms,PT-ID,13,L12+RMS,zero_shot,ext_v5,4.372748,0.811479,11.313615
wind_farms_hourly,WindFarms,PT-ID,13,L12+RMS,linear_adapter,ext_v5,4.372748,0.811479,11.313615
wind_farms_hourly,WindFarms,PT-ID,13,L12+RMS,linear_probe_q9,ext_v4,4.739728,,
sg_carpark,SG Carpark,PT-OOD,0,Emb,zero_shot,ext_v5,2.429925,2.323403,2.538064
sg_carpark,SG Carpark,PT-OOD,0,Emb,linear_adapter,ext_v5,2.347218,2.244376,2.451082
sg_carpark,SG Carpark,PT-OOD,1,L1,zero_shot,ext_v5,2.413446,2.306973,2.523818
sg_carpark,SG Carpark,PT-OOD,1,L1,linear_adapter,ext_v5,1.673359,1.586591,1.766091
sg_carpark,SG Carpark,PT-OOD,2,L2,zero_shot,ext_v5,2.357307,2.252737,2.467751
sg_carpark,SG Carpark,PT-OOD,2,L2,linear_adapter,ext_v5,0.871016,0.772008,0.991237
sg_carpark,SG Carpark,PT-OOD,3,L3,zero_shot,ext_v5,2.134056,2.036447,2.237507
sg_carpark,SG Carpark,PT-OOD,3,L3,linear_adapter,ext_v5,0.755464,0.673013,0.851296
sg_carpark,SG Carpark,PT-OOD,4,L4,zero_shot,ext_v5,1.881456,1.789513,1.978466
sg_carpark,SG Carpark,PT-OOD,4,L4,linear_adapter,ext_v5,0.714465,0.632013,0.811632
sg_carpark,SG Carpark,PT-OOD,5,L5,zero_shot,ext_v5,1.250908,1.171217,1.340138
sg_carpark,SG Carpark,PT-OOD,5,L5,linear_adapter,ext_v5,0.673234,0.588997,0.77397
sg_carpark,SG Carpark,PT-OOD,6,L6,zero_shot,ext_v5,1.057638,0.980668,1.147724
sg_carpark,SG Carpark,PT-OOD,6,L6,linear_adapter,ext_v5,0.673201,0.591296,0.77085
sg_carpark,SG Carpark,PT-OOD,7,L7,zero_shot,ext_v5,0.815039,0.738249,0.903624
sg_carpark,SG Carpark,PT-OOD,7,L7,linear_adapter,ext_v5,0.666191,0.582963,0.765792
sg_carpark,SG Carpark,PT-OOD,8,L8,zero_shot,ext_v5,0.82185,0.745954,0.910291
sg_carpark,SG Carpark,PT-OOD,8,L8,linear_adapter,ext_v5,0.665976,0.58729,0.758978
sg_carpark,SG Carpark,PT-OOD,9,L9,zero_shot,ext_v5,1.004921,0.92965,1.089944
sg_carpark,SG Carpark,PT-OOD,9,L9,linear_adapter,ext_v5,0.643215,0.565834,0.733047
sg_carpark,SG Carpark,PT-OOD,10,L10,zero_shot,ext_v5,1.220166,1.140884,1.307032
sg_carpark,SG Carpark,PT-OOD,10,L10,linear_adapter,ext_v5,0.636248,0.555642,0.730965
sg_carpark,SG Carpark,PT-OOD,11,L11,zero_shot,ext_v5,1.597763,1.513637,1.68755
sg_carpark,SG Carpark,PT-OOD,11,L11,linear_adapter,ext_v5,0.636657,0.559552,0.729075
sg_carpark,SG Carpark,PT-OOD,12,L12,zero_shot,ext_v5,0.59786,0.520924,0.689827
sg_carpark,SG Carpark,PT-OOD,12,L12,linear_adapter,ext_v5,0.603758,0.525237,0.698455
sg_carpark,SG Carpark,PT-OOD,13,L12+RMS,native,ext_v5,0.59786,0.520924,0.689827
sg_carpark,SG Carpark,PT-OOD,13,L12+RMS,zero_shot,ext_v5,0.59786,0.520924,0.689827
sg_carpark,SG Carpark,PT-OOD,13,L12+RMS,linear_adapter,ext_v5,0.59786,0.520924,0.689827
coastal_ts,Coastal T-S,PT-OOD,0,Emb,zero_shot,ext_v5,2.44994,1.732882,3.244747
coastal_ts,Coastal T-S,PT-OOD,0,Emb,linear_adapter,ext_v5,2.451252,1.736581,3.247219
coastal_ts,Coastal T-S,PT-OOD,1,L1,zero_shot,ext_v5,1.783027,1.343852,2.258049
coastal_ts,Coastal T-S,PT-OOD,1,L1,linear_adapter,ext_v5,1.149244,0.988422,1.322464
coastal_ts,Coastal T-S,PT-OOD,2,L2,zero_shot,ext_v5,1.589656,1.23735,1.979306
coastal_ts,Coastal T-S,PT-OOD,2,L2,linear_adapter,ext_v5,1.137919,0.973827,1.325356
coastal_ts,Coastal T-S,PT-OOD,3,L3,zero_shot,ext_v5,1.513956,1.195844,1.865348
coastal_ts,Coastal T-S,PT-OOD,3,L3,linear_adapter,ext_v5,1.148133,0.99801,1.324236
coastal_ts,Coastal T-S,PT-OOD,4,L4,zero_shot,ext_v5,1.441734,1.160802,1.754049
coastal_ts,Coastal T-S,PT-OOD,4,L4,linear_adapter,ext_v5,1.14399,0.979528,1.334072
coastal_ts,Coastal T-S,PT-OOD,5,L5,zero_shot,ext_v5,1.389702,1.130625,1.683902
coastal_ts,Coastal T-S,PT-OOD,5,L5,linear_adapter,ext_v5,1.170242,0.990258,1.389014
coastal_ts,Coastal T-S,PT-OOD,6,L6,zero_shot,ext_v5,1.395477,1.13844,1.680535
coastal_ts,Coastal T-S,PT-OOD,6,L6,linear_adapter,ext_v5,1.168883,0.976934,1.398031
coastal_ts,Coastal T-S,PT-OOD,7,L7,zero_shot,ext_v5,1.397216,1.131379,1.688875
coastal_ts,Coastal T-S,PT-OOD,7,L7,linear_adapter,ext_v5,1.166192,0.981091,1.382787
coastal_ts,Coastal T-S,PT-OOD,8,L8,zero_shot,ext_v5,1.345194,1.102225,1.608823
coastal_ts,Coastal T-S,PT-OOD,8,L8,linear_adapter,ext_v5,1.129308,0.956973,1.332094
coastal_ts,Coastal T-S,PT-OOD,9,L9,zero_shot,ext_v5,1.29756,1.067255,1.564563
coastal_ts,Coastal T-S,PT-OOD,9,L9,linear_adapter,ext_v5,1.200094,0.980708,1.463634
coastal_ts,Coastal T-S,PT-OOD,10,L10,zero_shot,ext_v5,1.235932,1.01898,1.504342
coastal_ts,Coastal T-S,PT-OOD,10,L10,linear_adapter,ext_v5,1.198978,0.976275,1.466613
coastal_ts,Coastal T-S,PT-OOD,11,L11,zero_shot,ext_v5,1.347588,1.088717,1.645674
coastal_ts,Coastal T-S,PT-OOD,11,L11,linear_adapter,ext_v5,1.191931,1.016559,1.394619
coastal_ts,Coastal T-S,PT-OOD,12,L12,zero_shot,ext_v5,1.130997,0.942115,1.355057
coastal_ts,Coastal T-S,PT-OOD,12,L12,linear_adapter,ext_v5,1.096428,0.916389,1.310479
coastal_ts,Coastal T-S,PT-OOD,13,L12+RMS,native,ext_v5,1.130997,0.942115,1.355057
coastal_ts,Coastal T-S,PT-OOD,13,L12+RMS,zero_shot,ext_v5,1.130997,0.942115,1.355057
