model,dataset,display_name,point_index,layer,kind,point_type,include_in_main_depth_axis,block_index,relative_depth,relative_position,is_tunnel_entrance,is_reference_point,is_native_readout,n_probe_params,test_loss,test_loss_ci_hi,test_loss_ci_lo,test_loss_delta_ci_hi,test_loss_delta_ci_lo,test_loss_delta_vs_last,test_loss_point,test_mae,test_mae_ci_hi,test_mae_ci_lo,test_mae_delta_ci_hi,test_mae_delta_ci_lo,test_mae_delta_vs_last,test_mae_point,test_mase,test_mase_ci_hi,test_mase_ci_lo,test_mase_delta_ci_hi,test_mase_delta_ci_lo,test_mase_delta_vs_last,test_mase_point,test_wql,test_wql_ci_hi,test_wql_ci_lo,test_wql_delta_ci_hi,test_wql_delta_ci_lo,test_wql_delta_vs_last,test_wql_point,train_loss,val_loss,wd_at_grid_max,wd_at_grid_min,weight_decay
chronos2,monash_electricity_hourly,Electricity,11,L11,block,block_depth,True,11,0.9166666666666666,0.9166666666666666,False,False,False,110736,0.12311967021522631,0.1296812888924459,0.11706481071878651,-0.0030836328920972314,-0.005792102186748671,-0.004382979935248388,0.12311967021522631,257.47340677014887,396.6564439546236,159.40637983109744,3.2142983997632255,-16.709952921620246,-8.219918549703806,257.47340677014887,1.0750391440704625,1.1335435706945531,1.020756633705762,-0.03711138072638005,-0.06459381849450578,-0.05092210849330825,1.0750391440704625,0.7892238866443031,0.8585381404785555,0.7100348379080293,0.048600984234980965,-0.033772065383618016,0.012271406736442003,0.7892238866443031,0.09187983226570885,0.08565280902135464,True,False,3.0
chronos2,monash_electricity_hourly,Electricity,12,L12,block,block_depth,True,12,1.0,1.0,False,True,False,110736,0.11873669027997792,0.12554325250560375,0.1123393377363824,0.0,0.0,0.0,0.11873669027997792,249.25348822044506,397.7630465183352,148.4038804465612,0.0,0.0,0.0,249.25348822044506,1.0241170355771543,1.083003966763935,0.9710911412882265,0.0,0.0,0.0,1.0241170355771543,0.8014952933807451,0.869762627994023,0.7046924955920877,0.0,0.0,0.0,0.8014952933807451,0.09235874787667817,0.08402972304411517,True,False,3.0
chronos2,monash_electricity_hourly,Electricity,13,L12+LN,final_norm,head_input_diagnostic,False,12,,,False,False,True,110736,0.11398394875057781,0.12104052802732655,0.107504627496388,0.0057536559069230565,0.0037296706416025728,0.004752741529400112,0.11398394875057781,246.68154338950072,404.4566849813638,143.30990404218,14.64514985069105,-13.494488027602888,2.5719448309443464,246.68154338950072,0.9863408957473264,1.044248798795305,0.9329302281796029,0.04933508787038601,0.02630243555133322,0.03777613982982786,0.9863408957473264,0.756014740640376,0.8332512575218599,0.6469055569642601,0.06255024013272281,0.03221151343835071,0.04548055274036911,0.756014740640376,0.0899676440104607,0.08163493149380648,True,False,3.0
chronos2,uber_tlc_hourly,Uber TLC,0,Emb,embedding,block_depth,True,0,0.0,0.0,False,False,False,110736,0.26682192451171294,0.27444997733558407,0.2592162787274436,-0.07462813595793286,-0.09258461940735008,-0.0837180979038013,0.26682192451171294,9.851613467346107,11.914795672066226,7.936302525110619,-3.620954273019319,-5.62432250918118,-4.582992617579154,9.851613467346107,1.3354787155001604,1.4095261213620884,1.263064227995953,-0.2710536296166314,-0.40925724598627805,-0.3406235337512211,1.3354787155001604,4.0673009885320734,4.19827490171709,3.930026607320202,-1.7721771648421418,-1.9557025058014679,-1.8647333304153144,4.0673009885320734,0.23085239362319027,0.22301977161915248,False,False,0.01
chronos2,uber_tlc_hourly,Uber TLC,1,L1,block,block_depth,True,1,0.08333333333333333,0.08333333333333333,False,False,False,110736,0.25359040518639653,0.25949993767484114,0.24793894809478795,-0.06400748069988181,-0.0770031566013589,-0.07048657857848489,0.25359040518639653,8.954321105910406,10.899208355554102,7.188952316403049,-2.8821839876349613,-4.561399651781364,-3.685700256143453,8.954321105910406,1.3453118049840145,1.4313584910537798,1.266632941656063,-0.30729399820493886,-0.3935449562953502,-0.3504566232350752,1.3453118049840145,3.7172627549086283,3.879626850754025,3.5591982179316197,-1.4100238016803956,-1.6161565612931386,-1.5146950967918693,3.7172627549086283,0.2143906555278828,0.21399502595531122,False,False,0.0001
chronos2,uber_tlc_hourly,Uber TLC,2,L2,block,block_depth,True,2,0.16666666666666666,0.16666666666666666,False,False,False,110736,0.23220665121578987,0.23842991939497016,0.22608931210062658,-0.04374498157470507,-0.05455276443914488,-0.04910282460787824,0.23220665121578987,7.877952483863086,9.601385041366546,6.313895388687422,-2.0016640689639273,-3.283909987168264,-2.609331634096133,7.877952483863086,1.2704207644751366,1.3885277152328492,1.1691788245688288,-0.23948898559575074,-0.3159054880463924,-0.27556558272619736,1.2704207644751366,3.2784722873917898,3.4456441915349516,3.1144528602150072,-0.9518667923185604,-1.1955765949081554,-1.0759046292750307,3.2784722873917898,0.19450137605476414,0.1929059770839815,False,False,1.0
chronos2,uber_tlc_hourly,Uber TLC,3,L3,block,block_depth,True,3,0.25,0.25,True,False,False,110736,0.19743020144355206,0.20312164445898231,0.19178676677313244,-0.011808717931898038,-0.016999727343244644,-0.01432637483564042,0.19743020144355206,6.224241911196847,7.547969969774906,5.028139976478441,-0.7101065468848032,-1.2265347253478807,-0.9556210614298939,6.224241911196847,1.0369772911172064,1.1001371784683598,0.9817283977387534,-0.0028293171966803947,-0.0755109999950214,-0.0421221093682671,1.0369772911172064,2.6172904613947607,2.7399308967569476,2.4970000238768315,-0.35720304061813174,-0.4674174862053781,-0.4147228032780017,2.6172904613947607,0.1720405716924705,0.16983204963439294,True,False,3.0
chronos2,uber_tlc_hourly,Uber TLC,4,L4,block,block_depth,True,4,0.3333333333333333,0.3333333333333333,False,False,False,110736,0.19025960267443237,0.1966405945424815,0.1839690757901159,-0.004647321383760275,-0.00974582311846598,-0.007155776066520736,0.19025960267443237,5.743396484328577,7.00150172777414,4.636577876730769,-0.27357056790973366,-0.6999704396998997,-0.47477563456162386,5.743396484328577,0.9709126337119356,1.0225060776484127,0.9242107207060687,0.0781453203615851,-0.020574883146784986,0.023942548037003686,0.9709126337119356,2.4511533325252466,2.578659902431987,2.3298607926701767,-0.18294314673470627,-0.3094890516588551,-0.24858567440848756,2.4511533325252466,0.16409657357348773,0.16496507180783584,True,False,3.0
chronos2,uber_tlc_hourly,Uber TLC,5,L5,block,block_depth,True,5,0.4166666666666667,0.4166666666666667,False,False,False,110736,0.18477722726591672,0.191191753436534,0.17828785104513567,0.0005970125538048184,-0.003991274705569024,-0.0016734006580050864,0.18477722726591672,5.5192400285144325,6.67377947013567,4.474044027860414,-0.10574483537325545,-0.3925100395200992,-0.2506191787474794,5.5192400285144325,0.9466797801812151,0.9966947191117065,0.9019005471947844,0.0994866243794698,0.005207029886603931,0.04817540156772415,0.9466797801812151,2.3277819351419353,2.4315341116870024,2.227045549684866,-0.07277821741906869,-0.16853374377091315,-0.1252142770251763,2.3277819351419353,0.1594580126554843,0.16161189713152765,True,False,3.0
chronos2,uber_tlc_hourly,Uber TLC,6,L6,block,block_depth,True,6,0.5,0.5,False,False,False,110736,0.18420383757876077,0.19066649242019892,0.17765514308778668,0.0011998784252022954,-0.0034171334933489556,-0.0011000109708491357,0.18420383757876077,5.509439093677179,6.667097975390711,4.467557533771006,-0.07796776278890792,-0.3986892687021376,-0.24081824391022622,5.509439093677179,0.9377428473346905,0.984628957085781,0.8953290885157674,0.11368434847250991,0.009779289279494854,0.05711233441424879,0.9377428473346905,2.316045396398097,2.4200612133299666,2.215713941325428,-0.055751507250019094,-0.1612819712637762,-0.11347773828133789,2.316045396398097,0.15778175466179506,0.16072089692847874,True,False,3.0
chronos2,uber_tlc_hourly,Uber TLC,7,L7,block,block_depth,True,7,0.5833333333333334,0.5833333333333334,False,False,False,110736,0.18202201989372724,0.18847957109883143,0.17545669490741636,0.0034780157395844797,-0.0012972542507758943,0.0010818067141843968,0.18202201989372724,5.397693635609705,6.470625774576662,4.410047206495282,0.00709264331723251,-0.25373202675961004,-0.12907278584275161,5.397693635609705,0.9232881582436241,0.9657378502117759,0.8856362976425269,0.134274791046016,0.0201623637466781,0.07156702350531519,0.9232881582436241,2.250149725884621,2.344668192437709,2.161226983995293,0.005143450472792955,-0.09495877232425097,-0.04758206776786178,2.250149725884621,0.15713530241737578,0.15910829359110984,True,False,3.0
chronos2,uber_tlc_hourly,Uber TLC,8,L8,block,block_depth,True,8,0.6666666666666666,0.6666666666666666,False,False,False,110736,0.1810190121977384,0.18739739538575628,0.1744476245321646,0.004412682846416054,-0.00015551002539749276,0.002084814410173247,0.1810190121977384,5.221456449622656,6.281764576066983,4.262625043383277,0.14328682686144653,-0.03931508115977058,0.04716440014429679,5.221456449622656,0.9022547121135479,0.9433271963334885,0.8655917271223608,0.15935952289333113,0.03870397574017237,0.09260046963539137,0.9022547121135479,2.2544783390009866,2.356400696112893,2.1554695089745923,-0.015614963182747684,-0.08964336548711813,-0.05191068088422757,2.2544783390009866,0.1552487099316062,0.15777186715250252,True,False,3.0
chronos2,uber_tlc_hourly,Uber TLC,9,L9,block,block_depth,True,9,0.75,0.75,False,False,False,110736,0.17973980051643065,0.18613580858818335,0.17328281685930344,0.005648129780684375,0.0011202853691998937,0.0033640260914809816,0.17973980051643065,5.282643200439252,6.372024061135971,4.289663292006946,0.060023986150848696,-0.09098099932290211,-0.014022350672298955,5.282643200439252,0.8998776750226672,0.9416929507099687,0.8633960933777713,0.1611424864444378,0.04175708451985288,0.09497750672627203,0.8998776750226672,2.2758363828354673,2.3879504787868817,2.1670203101765595,-0.042098662800973935,-0.1057264868898207,-0.07326872471870827,2.2758363828354673,0.15382890477562738,0.1566527330010902,True,False,3.0
