model,dataset,display_name,role,domain,freq,seasonal_m,provenance_status,provenance_evidence_scope,layer,point_index,point_type,relative_depth,relative_position,kind,train_loss,val_loss,test_loss,test_loss_ci_lo,test_loss_ci_hi,test_mase,test_mae,test_wql,weight_decay,is_tunnel_entrance,is_reference_point,effective_rank_train_headline,normalized_effective_rank_train_headline,native_loss,native_mase
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L1,1,block_depth,0.05,0.05,block,0.25692421197891235,0.3152383863925934,0.2582777738571167,0.23794109378692532,0.2798569074664834,1.1255710001110393,5.057115268401559,0.6785941040224035,10.0,False,False,43.391412729504815,0.033899541194925636,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L2,2,block_depth,0.1,0.1,block,0.2604789137840271,0.31506261229515076,0.2524731457233429,0.23283413216962218,0.2729493428096316,1.1128560088414052,4.996864165710016,0.6760585210291838,45.0,False,False,60.85998667157147,0.04754686458716521,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L3,3,block_depth,0.15,0.15,block,0.25957614183425903,0.3158282935619354,0.25389644503593445,0.2346117193924391,0.27411526343038745,1.1358901929228409,5.122000429154203,0.6919370270130952,65.0,False,False,79.18311010542207,0.061861804769860994,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L4,4,block_depth,0.2,0.2,block,0.24640728533267975,0.30699825286865234,0.24738137423992157,0.2295576879985716,0.26642561695566896,1.1229279410889466,5.023162192683252,0.6701120182116809,45.0,False,False,81.00582382979398,0.06328579986702655,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L5,5,block_depth,0.25,0.25,block,0.23569327592849731,0.3057674467563629,0.24831338226795197,0.23038359444360926,0.26736439212708807,1.1293285710649883,5.0481774177813845,0.6736051797598582,30.0,False,False,76.80172932887398,0.06000135103818279,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L6,6,block_depth,0.3,0.3,block,0.24021480977535248,0.30761292576789856,0.23751269280910492,0.22014497921140935,0.2556016556378311,1.0872683934931178,4.840290580871258,0.6393620934488424,45.0,False,False,73.82340961298029,0.05767453876014085,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L7,7,block_depth,0.35,0.35,block,0.25293853878974915,0.30933716893196106,0.22199444472789764,0.20637805534185458,0.2389500597442095,1.0198975116987126,4.52006242798405,0.5960267287996168,90.0,False,False,70.83795035710341,0.05534214871648704,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L8,8,block_depth,0.4,0.4,block,0.26607728004455566,0.31250816583633423,0.2147849202156067,0.20031567996417576,0.23094684067253335,0.9715476310007236,4.322330379629465,0.5733981030104619,150.0,False,False,67.28485741493341,0.05256629485541673,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L9,9,block_depth,0.45,0.45,block,0.26619428396224976,0.3158072531223297,0.21671321988105774,0.20217523081014857,0.23270057954057652,0.977207624335666,4.336985573156679,0.576017533878757,150.0,False,False,74.10639973319672,0.05789562479155994,0.23187647919163448,1.2305916869620719
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,L10,10,block_depth,0.5,0.5,block,0.2511562407016754,0.3097282350063324,0.22245235741138458,0.20745981666046187,0.23872704267331207,1.0161096106580534,4.5023536312466295,0.5953132989657656,90.0,False,False,73.07546491725267,0.05709020696660365,0.23187647919163448,1.2305916869620719
