source_dataset,target_dataset,probe_type,probe_layer,baseline,metric,probe_loss,baseline_loss,improvement_vs_baseline,improvement_ci_lo,improvement_ci_hi,probe_beats_baseline,skill_vs_baseline,n_series,n_windows,seed,quantile_config,context_length,prediction_length
wind_farms_hourly,m4_hourly,best_layer,1,native_chronos2,mase,7.667355,0.928949,-6.738406,-8.294564,-5.334376,False,-7.253797,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,best_layer,1,seasonal_naive,mase,7.667355,1.560496,-6.106859,-7.723607,-4.663617,False,-3.91341,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,best_layer,1,last_value,mase,7.667355,13.667144,5.999789,4.918459,7.166491,True,0.438994,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,final_layer,12,native_chronos2,mase,47.363745,0.928949,-46.434797,-119.801542,-8.986955,False,-49.986391,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,final_layer,12,seasonal_naive,mase,47.363745,1.560496,-45.80325,-119.200877,-8.319109,False,-29.351732,262,262,0,9,512,64
wind_farms_hourly,m4_hourly,final_layer,12,last_value,mase,47.363745,13.667144,-33.696602,-106.367866,3.086923,False,-2.465519,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,source_val_selected,4,native_chronos2,mase,5.308732,4.35428,-0.954452,-1.145388,-0.782012,False,-0.219199,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,source_val_selected,4,seasonal_naive,mase,5.308732,4.542732,-0.765999,-0.98044,-0.569025,False,-0.168621,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,source_val_selected,4,last_value,mase,5.308732,5.233047,-0.075685,-0.398934,0.231672,False,-0.014463,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,best_layer,4,native_chronos2,mase,5.308732,4.35428,-0.954452,-1.145388,-0.782012,False,-0.219199,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,best_layer,4,seasonal_naive,mase,5.308732,4.542732,-0.765999,-0.98044,-0.569025,False,-0.168621,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,best_layer,4,last_value,mase,5.308732,5.233047,-0.075685,-0.398934,0.231672,False,-0.014463,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,final_layer,12,native_chronos2,mase,5.681842,4.35428,-1.327562,-1.559575,-1.11493,False,-0.304887,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,final_layer,12,seasonal_naive,mase,5.681842,4.542732,-1.139109,-1.390041,-0.905453,False,-0.250754,262,262,0,9,512,64
wind_farms_hourly,wind_farms_hourly,final_layer,12,last_value,mase,5.681842,5.233047,-0.448795,-0.790999,-0.106283,False,-0.085762,262,262,0,9,512,64
