dataset,H,K,output_patch_size,quantile_set,num_quantiles,readout,metric,layer,point,ci_lo,ci_hi,delta_vs_L11,delta_ci_lo,delta_ci_hi,delta_above_zero,is_primary_comparison,val_selected_layer,n_test_series,n_test_windows,bootstrap_seed,n_replicates
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,5,1.3558311910776384,1.3046339788859944,1.4064943583660385,0.04642981078144781,0.020483126785197137,0.07184969719861095,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,6,1.385259301591654,1.3325102543862941,1.4393008142794406,0.017001700267432307,-0.004465961616876635,0.037817579295910966,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,7,1.4218130804977833,1.3591689897362482,1.488489702555454,-0.019552078638697123,-0.04654833037501414,0.00619046629123199,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,8,1.4450380938969059,1.3831960949354585,1.5077180495986693,-0.04277709203781965,-0.06690100419586345,-0.0196723384494554,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,9,1.4351347238464445,1.36623990981038,1.5090387127908234,-0.03287372198735827,-0.06007920335957979,-0.007451847301885459,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,10,1.4144972874715405,1.3523253418979926,1.4810582564397063,-0.012236285612454267,-0.034949655396787856,0.010565545837110002,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content,mase_context,11,1.4022610018590862,1.344690157279665,1.4614097367028174,0.0,0.0,0.0,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,0,2.426321506500244,2.271726807601091,2.5792968279918616,-0.21364855766296387,-0.2501774252947737,-0.17862929641250572,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,1,2.3450536727905273,2.194441603235364,2.495075731536715,-0.13238072395324707,-0.16377042545971504,-0.10149069803461011,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,2,2.17053484916687,2.026546682113401,2.313270096944307,0.042138099670410156,0.012036319977534782,0.07201000837349694,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,3,2.086481809616089,1.9442453584973012,2.2295880673855333,0.1261911392211914,0.10105964775458506,0.15207613726056715,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,4,2.024207353591919,1.8834752929256704,2.1658405627730475,0.18846559524536133,0.16364621151363812,0.21379233869121272,True,True,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,5,2.035428762435913,1.8950372042571308,2.1784048059533467,0.1772441864013672,0.1513689952704791,0.20404938645018694,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,6,2.0520448684692383,1.9141202079334314,2.1916877040928338,0.160628080368042,0.1348519245353122,0.18750069983408563,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,7,2.0778307914733887,1.9395960411679682,2.2191368953711748,0.1348421573638916,0.1084399973011363,0.16286874031147436,True,False,4,59,1500,0,5000
