pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,3,L3,6.411179,2.51617,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,4,L4,6.125493,2.577302,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,5,L5,5.961053,2.267997,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,6,L6,5.88579,2.22007,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,7,L7,5.871044,2.16546,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,8,L8,5.787831,2.043801,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,9,L9,5.672702,2.052514,True,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,10,L10,5.173772,1.989065,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,11,L11,4.794665,1.990442,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,12,L12,4.255819,1.608444,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,13,L12+LN,4.307499,1.655882,False,True,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,0,Emb,3.543097,1.813891,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,1,L1,4.136502,2.607611,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,2,L2,4.500528,2.642152,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,3,L3,4.090307,2.116881,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,4,L4,3.896156,2.068404,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,5,L5,3.650107,1.901237,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,6,L6,3.585272,1.860591,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,7,L7,3.521612,1.753652,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,8,L8,3.476506,1.68625,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,9,L9,3.325247,1.629833,True,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,10,L10,3.455492,2.060813,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,11,L11,3.507375,2.143539,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,12,L12,3.235119,1.947657,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,13,L12+LN,2.856237,1.587106,False,True,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,0,Emb,5.88441,2.753327,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,1,L1,5.362074,2.910818,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,2,L2,3.494827,1.574589,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,3,L3,2.609212,1.218733,True,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,4,L4,2.464768,1.161037,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,5,L5,2.3825,1.096589,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,6,L6,2.403795,1.087735,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,7,L7,2.354693,1.073036,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,8,L8,2.316652,1.041341,False,False,True
