model,dataset,family,tolerance,compatibility_entrance,phase1_entrance,compatibility_lag,no_truncation
chronos2,sg_carpark,fl,tol_0.01,12,12,0,True
chronos2,sg_carpark,fl,tol_0.02,12,11,1,True
chronos2,sg_carpark,fl,tol_0.05,12,10,2,True
chronos2,sg_carpark,fl,tol_0.1,10,9,1,False
chronos2,sg_carpark,ra,tol_0.01,12,12,0,True
chronos2,sg_carpark,ra,tol_0.02,12,11,1,True
chronos2,sg_carpark,ra,tol_0.05,11,10,1,False
chronos2,sg_carpark,ra,tol_0.1,10,9,1,False
chronos2,sg_carpark,probe,tol_0.01,12,12,0,True
chronos2,sg_carpark,probe,tol_0.02,12,11,1,True
chronos2,sg_carpark,probe,tol_0.05,12,10,2,True
chronos2,sg_carpark,probe,tol_0.1,12,9,3,True
chronos2,uber_tlc_hourly,hard,tol_0.01,12,6,6,True
chronos2,uber_tlc_hourly,hard,tol_0.02,12,5,7,True
chronos2,uber_tlc_hourly,hard,tol_0.05,12,4,8,True
chronos2,uber_tlc_hourly,hard,tol_0.1,12,3,9,True
chronos2,uber_tlc_hourly,noa,tol_0.01,9,6,3,False
chronos2,uber_tlc_hourly,noa,tol_0.02,7,5,2,False
chronos2,uber_tlc_hourly,noa,tol_0.05,3,4,-1,False
chronos2,uber_tlc_hourly,noa,tol_0.1,3,3,0,False
chronos2,uber_tlc_hourly,fl,tol_0.01,10,6,4,False
chronos2,uber_tlc_hourly,fl,tol_0.02,9,5,4,False
chronos2,uber_tlc_hourly,fl,tol_0.05,4,4,0,False
chronos2,uber_tlc_hourly,fl,tol_0.1,3,3,0,False
chronos2,uber_tlc_hourly,ra,tol_0.01,9,6,3,False
chronos2,uber_tlc_hourly,ra,tol_0.02,7,5,2,False
chronos2,uber_tlc_hourly,ra,tol_0.05,3,4,-1,False
chronos2,uber_tlc_hourly,ra,tol_0.1,3,3,0,False
chronos2,uber_tlc_hourly,probe,tol_0.01,12,6,6,True
chronos2,uber_tlc_hourly,probe,tol_0.02,12,5,7,True
chronos2,uber_tlc_hourly,probe,tol_0.05,12,4,8,True
chronos2,uber_tlc_hourly,probe,tol_0.1,6,3,3,False
chronos2,wiki_daily_100k,hard,tol_0.01,12,4,8,True
chronos2,wiki_daily_100k,hard,tol_0.02,12,3,9,True
chronos2,wiki_daily_100k,hard,tol_0.05,12,2,10,True
chronos2,wiki_daily_100k,hard,tol_0.1,12,1,11,True
chronos2,wiki_daily_100k,noa,tol_0.01,9,4,5,False
chronos2,wiki_daily_100k,noa,tol_0.02,3,3,0,False
chronos2,wiki_daily_100k,noa,tol_0.05,2,2,0,False
chronos2,wiki_daily_100k,noa,tol_0.1,1,1,0,False
chronos2,wiki_daily_100k,fl,tol_0.01,10,4,6,False
chronos2,wiki_daily_100k,fl,tol_0.02,8,3,5,False
chronos2,wiki_daily_100k,fl,tol_0.05,3,2,1,False
chronos2,wiki_daily_100k,fl,tol_0.1,1,1,0,False
chronos2,wiki_daily_100k,ra,tol_0.01,9,4,5,False
chronos2,wiki_daily_100k,ra,tol_0.02,3,3,0,False
chronos2,wiki_daily_100k,ra,tol_0.05,2,2,0,False
chronos2,wiki_daily_100k,ra,tol_0.1,1,1,0,False
chronos2,wiki_daily_100k,probe,tol_0.01,12,4,8,True
chronos2,wiki_daily_100k,probe,tol_0.02,12,3,9,True
chronos2,wiki_daily_100k,probe,tol_0.05,9,2,7,False
chronos2,wiki_daily_100k,probe,tol_0.1,2,1,1,False
chronos2,wind_farms_hourly,hard,tol_0.01,12,12,0,True
chronos2,wind_farms_hourly,hard,tol_0.02,12,11,1,True
chronos2,wind_farms_hourly,hard,tol_0.05,12,3,9,True
chronos2,wind_farms_hourly,hard,tol_0.1,12,2,10,True
chronos2,wind_farms_hourly,noa,tol_0.01,12,12,0,True
chronos2,wind_farms_hourly,noa,tol_0.02,12,11,1,True
chronos2,wind_farms_hourly,noa,tol_0.05,11,3,8,False
chronos2,wind_farms_hourly,noa,tol_0.1,2,2,0,False
chronos2,wind_farms_hourly,fl,tol_0.01,12,12,0,True
chronos2,wind_farms_hourly,fl,tol_0.02,12,11,1,True
chronos2,wind_farms_hourly,fl,tol_0.05,11,3,8,False
chronos2,wind_farms_hourly,fl,tol_0.1,2,2,0,False
chronos2,wind_farms_hourly,ra,tol_0.01,12,12,0,True
chronos2,wind_farms_hourly,ra,tol_0.02,12,11,1,True
chronos2,wind_farms_hourly,ra,tol_0.05,11,3,8,False
chronos2,wind_farms_hourly,ra,tol_0.1,2,2,0,False
chronos2,wind_farms_hourly,probe,tol_0.01,12,12,0,True
chronos2,wind_farms_hourly,probe,tol_0.02,12,11,1,True
chronos2,wind_farms_hourly,probe,tol_0.05,12,3,9,True
chronos2,wind_farms_hourly,probe,tol_0.1,12,2,10,True
timesfm3,LOOP_SEATTLE_5T,hard,tol_0.01,20,17,3,True
timesfm3,LOOP_SEATTLE_5T,hard,tol_0.02,20,17,3,True
timesfm3,LOOP_SEATTLE_5T,hard,tol_0.05,20,14,6,True
timesfm3,LOOP_SEATTLE_5T,hard,tol_0.1,20,1,19,True
timesfm3,LOOP_SEATTLE_5T,noa,tol_0.01,20,17,3,True
timesfm3,LOOP_SEATTLE_5T,noa,tol_0.02,19,17,2,False
timesfm3,LOOP_SEATTLE_5T,noa,tol_0.05,18,14,4,False
timesfm3,LOOP_SEATTLE_5T,noa,tol_0.1,18,1,17,False
timesfm3,LOOP_SEATTLE_5T,ra,tol_0.01,20,17,3,True
timesfm3,LOOP_SEATTLE_5T,ra,tol_0.02,20,17,3,True
timesfm3,LOOP_SEATTLE_5T,ra,tol_0.05,20,14,6,True
timesfm3,LOOP_SEATTLE_5T,ra,tol_0.1,20,1,19,True
timesfm3,LOOP_SEATTLE_5T,probe,tol_0.01,20,17,3,True
timesfm3,LOOP_SEATTLE_5T,probe,tol_0.02,20,17,3,True
timesfm3,LOOP_SEATTLE_5T,probe,tol_0.05,20,14,6,True
timesfm3,LOOP_SEATTLE_5T,probe,tol_0.1,20,1,19,True
timesfm3,SZ_TAXI_15T,hard,tol_0.01,20,16,4,True
timesfm3,SZ_TAXI_15T,hard,tol_0.02,20,5,15,True
timesfm3,SZ_TAXI_15T,hard,tol_0.05,20,1,19,True
timesfm3,SZ_TAXI_15T,hard,tol_0.1,20,0,20,True
timesfm3,SZ_TAXI_15T,noa,tol_0.01,20,16,4,True
timesfm3,SZ_TAXI_15T,noa,tol_0.02,19,5,14,False
timesfm3,SZ_TAXI_15T,noa,tol_0.05,18,1,17,False
timesfm3,SZ_TAXI_15T,noa,tol_0.1,16,0,16,False
timesfm3,SZ_TAXI_15T,ra,tol_0.01,20,16,4,True
timesfm3,SZ_TAXI_15T,ra,tol_0.02,20,5,15,True
timesfm3,SZ_TAXI_15T,ra,tol_0.05,20,1,19,True
timesfm3,SZ_TAXI_15T,ra,tol_0.1,20,0,20,True
timesfm3,SZ_TAXI_15T,probe,tol_0.01,20,16,4,True
timesfm3,SZ_TAXI_15T,probe,tol_0.02,20,5,15,True
timesfm3,SZ_TAXI_15T,probe,tol_0.05,20,1,19,True
timesfm3,SZ_TAXI_15T,probe,tol_0.1,15,0,15,False
timesfm3,boom_hourly,hard,tol_0.01,20,0,20,True
timesfm3,boom_hourly,hard,tol_0.02,20,0,20,True
timesfm3,boom_hourly,hard,tol_0.05,20,0,20,True
timesfm3,boom_hourly,hard,tol_0.1,20,0,20,True
timesfm3,boom_hourly,noa,tol_0.01,20,0,20,True
timesfm3,boom_hourly,noa,tol_0.02,20,0,20,True
timesfm3,boom_hourly,noa,tol_0.05,20,0,20,True
timesfm3,boom_hourly,noa,tol_0.1,20,0,20,True
timesfm3,boom_hourly,ra,tol_0.01,20,0,20,True
timesfm3,boom_hourly,ra,tol_0.02,20,0,20,True
timesfm3,boom_hourly,ra,tol_0.05,20,0,20,True
timesfm3,boom_hourly,ra,tol_0.1,20,0,20,True
timesfm3,boom_hourly,probe,tol_0.01,20,0,20,True
timesfm3,boom_hourly,probe,tol_0.02,20,0,20,True
timesfm3,boom_hourly,probe,tol_0.05,20,0,20,True
timesfm3,boom_hourly,probe,tol_0.1,20,0,20,True
timesfm3,coastal_ts,hard,tol_0.01,20,18,2,True
timesfm3,coastal_ts,hard,tol_0.02,20,18,2,True
timesfm3,coastal_ts,hard,tol_0.05,20,5,15,True
timesfm3,coastal_ts,hard,tol_0.1,20,0,20,True
timesfm3,coastal_ts,noa,tol_0.01,19,18,1,False
timesfm3,coastal_ts,noa,tol_0.02,19,18,1,False
timesfm3,coastal_ts,noa,tol_0.05,19,5,14,False
