model,arm,depth_index,label,includes_low_skill,n_datasets,blocks_removed,fraction_blocks_removed,degradation_q25,degradation_median,degradation_q75,speedup_e2e_b1,speedup_e2e_b256,speedup_device_b1,params_removed_fraction
timesfm3,ra,0,Emb,True,14,20,1.0,0.27436561597773373,0.3504017795457446,0.6834384077979383,1.384439505262513,5.943253110015933,2.4310984994946288,0.9863704070106218
timesfm3,ra,1,L1,True,14,19,0.95,0.44027369259478377,0.579377459562939,1.41995280544231,1.3724722373793026,4.651041968499897,2.28195027271378,0.9368039843951234
timesfm3,ra,10,L10,True,14,10,0.5,1.1531660759595517,1.4632472082427617,2.1109960018957663,1.187272509332605,1.7084380667649146,1.415355562459521,0.49070618085563633
timesfm3,ra,11,L11,True,14,9,0.45,0.9912263213447663,1.4295184066091549,2.1297712293242643,1.121612991447725,1.599192791627599,1.3615507995174596,0.44113975824013774
timesfm3,ra,12,L12,True,14,8,0.4,1.0113451230658357,1.3865651014102705,2.1055673935820574,1.152818453822076,1.5139175846669626,1.3016199179870427,0.39157333562463925
timesfm3,ra,13,L13,True,14,7,0.35,1.0573077218034954,1.3444816061309177,2.305615163450405,1.1077368087709483,1.4157351897929482,1.2545559494667289,0.34200691300914066
timesfm3,ra,14,L14,True,14,6,0.3,0.8377886809454042,1.264126406164051,2.239134286534264,1.1060860111874695,1.3421619788612977,1.216119715250558,0.29244049039364206
timesfm3,ra,15,L15,True,14,5,0.25,0.6690120137037741,1.0965138600873852,1.7889098638291,1.0780301232339404,1.2641926767054803,1.166362150849616,0.24287406777814358
timesfm3,ra,16,L16,True,14,4,0.2,0.8297199830274458,1.023948629275174,1.63657463236615,1.046439374321341,1.203877805840885,1.1383895132994997,0.19330764516264498
timesfm3,ra,17,L17,True,14,3,0.15,0.5197139977033786,0.6526672919098919,1.4297947646081455,1.0701685775028895,1.1481853515676812,1.1056119598549459,0.14374122254714639
timesfm3,ra,18,L18,True,14,2,0.1,0.3258485002342575,0.3973701515827528,1.016240360651866,1.0333876565350084,1.0921604666591322,1.0605005392296576,0.0941747999316479
timesfm3,ra,19,L19,True,14,1,0.05,0.17469258371781232,0.22748269006636201,0.435386515591327,0.9853789896052291,1.0364938384035858,1.0361126716924947,0.044608377316149306
timesfm3,ra,2,L2,True,14,18,0.9,0.5671714167315827,0.7407145443881245,1.7573659111181943,1.428086066845799,4.249886300237453,2.1316991207846265,0.8872375617796248
timesfm3,ra,3,L3,True,14,17,0.85,0.6192651982446237,0.8747610159482505,1.8759545393985047,1.335219189933938,3.486953516481505,1.9748220650871342,0.8376711391641262
timesfm3,ra,4,L4,True,14,16,0.8,0.7958127624617402,1.0244827207477576,2.074624517634999,1.2938064879403643,3.109414350956207,1.8654381217797658,0.7881047165486277
timesfm3,ra,5,L5,True,14,15,0.75,0.8500197049406494,1.1231026544408607,2.199322843448876,1.2394598071023932,2.704498019005708,1.765121932057639,0.7385382939331291
timesfm3,ra,6,L6,True,14,14,0.7,1.0042095396497812,1.12828264801372,2.59267532546452,1.2445900309294757,2.4355229249180557,1.6986825705611446,0.6889718713176305
timesfm3,ra,7,L7,True,14,13,0.65,0.9925597859076636,1.246383934404472,2.2415885232442174,1.22036216488048,2.2061891481488756,1.621199775001999,0.639405448702132
timesfm3,ra,8,L8,True,14,12,0.6,1.0660802453144433,1.341700391067257,2.464932114779878,1.2469826939101563,2.0298155078120907,1.5339221223696073,0.5898390260866334
timesfm3,ra,9,L9,True,14,11,0.55,1.1612944659897628,1.444196824765895,2.866692202104293,1.1778947225357868,1.8536634308838653,1.4684496545271524,0.5402726034711349
tirex,fl,0,Emb,True,14,12,1.0,0.1259768770286145,0.466256392852191,1.1097202263192676,339.7538550577322,50.16862166932148,369.0675405374053,0.9074234936754771
tirex,fl,1,L1,True,14,11,0.9166666666666666,0.08289554169787305,0.13511539262783812,0.29521178231563544,11.660921104149486,9.829352565156375,11.692816650895029,0.8311846579317224
tirex,fl,10,L10,True,14,2,0.16666666666666666,0.024663290180305664,0.04506641231678288,0.10968422576771503,1.2084424061714134,1.1933197569250569,1.209010968359812,0.14503513623792896
tirex,fl,11,L11,True,14,1,0.08333333333333333,0.021492370886049883,0.04300608239796644,0.06661506477938295,1.0921829826529053,1.0873720184941127,1.0885802049463533,0.06879630049417418
tirex,fl,2,L2,True,14,10,0.8333333333333334,0.07871283515853317,0.14074939996912272,0.330731240382746,5.952474008877456,5.426456497854646,5.948647090632599,0.7549458221879676
tirex,fl,3,L3,True,14,9,0.75,0.06831958484276962,0.1176322953193829,0.321046569465432,3.934260090355502,3.7606406571569306,3.933475583362612,0.6787069864442128
tirex,fl,4,L4,True,14,8,0.6666666666666666,0.06446300493253931,0.1040807045347445,0.2762043031291503,2.992763544698721,2.880986877542075,2.9941640357923873,0.6024681507004579
tirex,fl,5,L5,True,14,7,0.5833333333333334,0.04993996891290847,0.12322399758546143,0.2231863706709194,2.3885548671630037,2.3291230563257113,2.38733504400129,0.5262293149567031
tirex,fl,6,L6,True,14,6,0.5,0.04909600641816941,0.11551500902472311,0.1826113266094349,1.9885259272839355,1.9578255678040348,1.9895953804304374,0.4499904792129483
tirex,fl,7,L7,True,14,5,0.4166666666666667,0.05301837366575052,0.10362964758515869,0.11948643680721316,1.7143162286872053,1.6863467550583349,1.7185356659106008,0.37375164346919343
tirex,fl,8,L8,True,14,4,0.3333333333333333,0.042826245604777435,0.09332793365902137,0.152407614376448,1.4990520763661965,1.4831772451493994,1.4919401611343168,0.29751280772543864
tirex,fl,9,L9,True,14,3,0.25,0.04119579231945769,0.07561101387813596,0.18536901166462721,1.3344069533770697,1.322744937689187,1.333818916100592,0.22127397198168386
tirex,hard,0,Emb,True,14,12,1.0,1.8953039523014543,2.667188563639659,4.6927375041258905,353.70513563162194,54.5253346350098,386.8530634164928,0.9148660289250579
tirex,hard,1,L1,True,14,11,0.9166666666666666,1.241886232371437,1.8937872323513616,2.957058459192327,11.698433553427874,9.976298023171053,11.68633051475844,0.838627193181303
tirex,hard,10,L10,True,14,2,0.16666666666666666,0.31116442775880493,0.6579221911562264,0.9681337226482865,1.181713160265159,1.195503386668841,1.1814950248486669,0.15247767148750968
tirex,hard,11,L11,True,14,1,0.08333333333333333,0.3064777037904054,0.6951170915176278,1.1457363537264729,1.0936948704660816,1.0890345223311235,1.0915825943338593,0.07623883574375478
