model,dataset,tolerance,is_headline,label,depth_index,relative_depth,blocks_removed,rung,mase_ratio,mase_ci_lo,mase_ci_hi,wql_ratio,wql_ci_lo,wql_ci_hi,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,compatibility_gap_exists,low_skill
timesfm3,LOOP_SEATTLE_5T,tol_0.05,True,L14,14,0.7,6,probe,0.7854898370523514,0.7459504839899771,0.8307699568257954,0.8705220239418625,0.8287023777216895,0.9165226060934765,True,False,1.0021804612844736,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.1,False,L1,1,0.05,19,hard,25.150508641182615,23.226099942995734,27.341843398003935,44.04189410392982,39.74425611561713,49.058751022344424,False,False,,,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.1,False,L1,1,0.05,19,noa,1.2546517263034924,1.172536449468391,1.347574263880269,1.4254943536614821,1.331181988059287,1.527825217651741,False,False,0.9894556371425963,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.1,False,L1,1,0.05,19,ra,1.2178616349495754,1.1410387428553215,1.304758685578111,1.512786592504449,1.4129250856119713,1.6246146901362801,False,False,0.990979004285729,True,True,False
timesfm3,LOOP_SEATTLE_5T,tol_0.1,False,L1,1,0.05,19,probe,0.9146583774564527,0.8606096251303492,0.9748799263587222,1.0443555444187038,0.9751051812396175,1.1195015272085038,True,False,1.0035337401713362,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.01,False,L16,16,0.8,4,hard,67.41205460937701,62.131921321412236,73.27569096645412,93.66687379228769,88.42685347417512,99.0940283294715,False,False,,,True,False
timesfm3,SZ_TAXI_15T,tol_0.01,False,L16,16,0.8,4,noa,1.0713828849584315,1.055064929377052,1.089917151297013,1.0695946576778266,1.0577501183732263,1.0825966646065868,False,False,0.9989251516855141,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.01,False,L16,16,0.8,4,ra,1.572520025499821,1.5014630480745195,1.6542529549976088,1.916534390886894,1.8364896177308263,2.0017112988999632,False,False,0.9913792755115427,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.01,False,L16,16,0.8,4,probe,1.0875907407180971,1.038465692378893,1.17369149998714,1.051711019097291,1.036023810517939,1.071725824942293,False,True,0.9986811017783852,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.02,False,L5,5,0.25,15,hard,32.19995356793958,29.712355820802863,34.61399440439739,73.92141105296935,64.49399327177278,84.37074826637286,False,False,,,True,False
timesfm3,SZ_TAXI_15T,tol_0.02,False,L5,5,0.25,15,noa,1.1857336594195773,1.144731354125941,1.2367377510985096,1.1946547104748386,1.1689529815713624,1.223003850390696,False,False,0.9940469892362138,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.02,False,L5,5,0.25,15,ra,1.5119887049379086,1.44866994887689,1.5878434011275468,1.8150322871147608,1.7441585979748462,1.8916788844345107,False,False,0.9835900811896074,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.02,False,L5,5,0.25,15,probe,1.0920586272161315,1.0390460487132693,1.1817742806106935,1.054439254572732,1.0350981643930286,1.077148276031433,False,True,0.9970493985827362,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.05,True,L1,1,0.05,19,hard,25.750868203265302,23.886702260544407,27.6453190145865,50.38442925970529,45.47795430222337,55.84676811007046,False,False,,,True,False
timesfm3,SZ_TAXI_15T,tol_0.05,True,L1,1,0.05,19,noa,1.1576593274369473,1.117098614810661,1.20663108209445,1.1573446240629492,1.1311725574584621,1.185946822549274,False,False,0.9936301496116348,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.05,True,L1,1,0.05,19,ra,1.2394059548726557,1.1928277176273059,1.297547982051415,1.345441689349681,1.3095198818115494,1.3848129537830727,False,False,0.9903273714317193,True,True,False
