job,config_id,model,kind,depth,drift,level,batch,status,median_ms,p95_ms,iqr_ms,throughput,peak_allocated_bytes,active_params,weights_bytes,gpu,native_median_ms_same_job,speedup_vs_native_same_job,native_drift_range_ms
job1_chronos2,014_chronos2_adapter_L04,chronos2,adapter,4,,api_e2e,256,ok,72.400653,72.83748445,0.05993549999999459,3535.8797109191814,704210432,44552352,178214400,NVIDIA A100-SXM4-40GB,181.99669649999998,2.5137438539401016,0.3272615000000201
job1_chronos2,014_chronos2_adapter_L04,chronos2,adapter,4,,device_forward,256,ok,61.5315705,61.6063738,0.023541250000008063,4160.465886369664,703620608,44552352,178214400,NVIDIA A100-SXM4-40GB,171.075546,2.7802889575197827,0.021898999999990565
job1_chronos2,015_chronos2_probe_head_L04,chronos2,probe_head,4,,api_e2e,1,ok,7.895352000000001,7.9395811,0.025495000000000267,126.65679756900006,172304896,40566096,162269184,NVIDIA A100-SXM4-40GB,19.5060305,2.4705713564132417,0.28581599999999696
job1_chronos2,015_chronos2_probe_head_L04,chronos2,probe_head,4,,device_forward,1,ok,7.23831,7.25989055,0.01850974999999977,138.15379556830254,172302336,40566096,162269184,NVIDIA A100-SXM4-40GB,18.893026,2.6101432516706247,0.35365350000000007
job1_chronos2,015_chronos2_probe_head_L04,chronos2,probe_head,4,,api_e2e,256,ok,69.9165255,70.49666885,0.10099200000000508,3661.509180687189,687740928,40566096,162269184,NVIDIA A100-SXM4-40GB,181.99669649999998,2.6030569339433205,0.3272615000000201
job1_chronos2,015_chronos2_probe_head_L04,chronos2,probe_head,4,,device_forward,256,ok,59.151588000000004,59.1862012,0.018469250000002546,4327.863522446768,686626816,40566096,162269184,NVIDIA A100-SXM4-40GB,171.075546,2.8921547465471256,0.021898999999990565
job1_chronos2,016_chronos2_adapter_L12,chronos2,adapter,12,,api_e2e,1,ok,19.428505,19.47889755,0.03663875000000161,51.47076421989237,490321920,120068256,480286208,NVIDIA A100-SXM4-40GB,19.5060305,1.0039902967315293,0.28581599999999696
job1_chronos2,016_chronos2_adapter_L12,chronos2,adapter,12,,device_forward,1,ok,18.813041499999997,19.0603959,0.0407839999999986,53.154616174104554,490319360,120068256,480286208,NVIDIA A100-SXM4-40GB,18.893026,1.0042515453973777,0.35365350000000007
job1_chronos2,016_chronos2_adapter_L12,chronos2,adapter,12,,api_e2e,256,ok,182.8770955,184.38086199999998,0.37438250000002427,1399.8472542451332,1005757952,120068256,480286208,NVIDIA A100-SXM4-40GB,181.99669649999998,0.9951858432703509,0.3272615000000201
job1_chronos2,016_chronos2_adapter_L12,chronos2,adapter,12,,device_forward,256,ok,171.793156,171.84820935,0.02094675000000734,1490.1641366900553,1005168128,120068256,480286208,NVIDIA A100-SXM4-40GB,171.075546,0.995822825444804,0.021898999999990565
job1_chronos2,017_chronos2_adapter_L07,chronos2,adapter,7,,api_e2e,1,ok,12.469242999999999,12.50584165,0.023811500000000763,80.19733034314915,301527040,72870816,291491328,NVIDIA A100-SXM4-40GB,19.5060305,1.5643315716920427,0.28581599999999696
job1_chronos2,017_chronos2_adapter_L07,chronos2,adapter,7,,device_forward,1,ok,11.828316000000001,11.86006115,0.030091750000000417,84.54288843821892,301524480,72870816,291491328,NVIDIA A100-SXM4-40GB,18.893026,1.5972709893783694,0.35365350000000007
job1_chronos2,017_chronos2_adapter_L07,chronos2,adapter,7,,api_e2e,256,ok,113.7571985,119.49314679999999,0.40187024999998755,2250.4070368786374,817487360,72870816,291491328,NVIDIA A100-SXM4-40GB,181.99669649999998,1.599869712860413,0.3272615000000201
job1_chronos2,017_chronos2_adapter_L07,chronos2,adapter,7,,device_forward,256,ok,102.909041,103.15793224999999,0.021167000000005487,2487.633715292323,816897536,72870816,291491328,NVIDIA A100-SXM4-40GB,171.075546,1.6623956878579793,0.021898999999990565
job1_chronos2,018_chronos2_chronos2_small_na,chronos2,chronos2_small,,,api_e2e,1,ok,10.7555045,10.799336049999999,0.030397500000001187,92.97564795775037,121283584,27934624,111745536,NVIDIA A100-SXM4-40GB,19.5060305,1.8135858248211416,0.28581599999999696
job1_chronos2,018_chronos2_chronos2_small_na,chronos2,chronos2_small,,,device_forward,1,ok,10.113385,10.1563311,0.02158525000000111,98.87886202295276,121281024,27934624,111745536,NVIDIA A100-SXM4-40GB,18.893026,1.868120911050059,0.35365350000000007
job1_chronos2,018_chronos2_chronos2_small_na,chronos2,chronos2_small,,,api_e2e,256,ok,55.416660500000006,55.625477950000004,0.041766250000002,4619.549386235571,467965440,27934624,111745536,NVIDIA A100-SXM4-40GB,181.99669649999998,3.2841512797401418,0.3272615000000201
job1_chronos2,018_chronos2_chronos2_small_na,chronos2,chronos2_small,,,device_forward,256,ok,44.631390499999995,44.6974208,0.04905674999999121,5735.873275111158,467375616,27934624,111745536,NVIDIA A100-SXM4-40GB,171.075546,3.8330767669001937,0.021898999999990565
job1_chronos2,019_chronos2_probe_head_L07,chronos2,probe_head,7,,api_e2e,1,ok,12.103466999999998,12.153634949999999,0.03273850000000067,82.62095480575938,285581824,68884560,275546112,NVIDIA A100-SXM4-40GB,19.5060305,1.6116068643802643,0.28581599999999696
job1_chronos2,019_chronos2_probe_head_L07,chronos2,probe_head,7,,device_forward,1,ok,11.499780000000001,11.5427793,0.025718749999999346,86.95818528702287,285579264,68884560,275546112,NVIDIA A100-SXM4-40GB,18.893026,1.6429032555405405,0.35365350000000007
job1_chronos2,019_chronos2_probe_head_L07,chronos2,probe_head,7,,api_e2e,256,ok,111.303353,111.7625191,0.10197150000000477,2300.0205573321764,801017856,68884560,275546112,NVIDIA A100-SXM4-40GB,181.99669649999998,1.6351411848302537,0.3272615000000201
job1_chronos2,019_chronos2_probe_head_L07,chronos2,probe_head,7,,device_forward,256,ok,100.516876,100.8242846,0.058593000000016104,2546.836015874588,799903744,68884560,275546112,NVIDIA A100-SXM4-40GB,171.075546,1.7019584452664447,0.021898999999990565
job1_chronos2,020_chronos2_probe_head_L05,chronos2,probe_head,5,,api_e2e,1,ok,9.220572,9.27099035,0.02109950000000005,108.45314151876912,210063872,50005584,200028160,NVIDIA A100-SXM4-40GB,19.5060305,2.115490286285927,0.28581599999999696
