model,dataset,arm,depth_index,label,blocks_removed,budgets,physical_test_mase,offline_test_mase,mase_mean_rel_diff,V3_passed,active_params,fraction_params_removed
tirex,LOOP_SEATTLE_5T,fl,8,L8,4,0.2,1.0103616468290142,1.0103612173817067,4.2504334103967724e-07,False,24791616,0.29751280772543864
tirex,LOOP_SEATTLE_5T,fl,10,L10,2,0.1,1.0804857817030198,1.080493232243724,6.895499649448488e-06,False,30172736,0.14503513623792896
tirex,LOOP_SEATTLE_5T,fl,11,L11,1,0.05,1.1941290322773326,1.1941410944542399,1.0101132071678923e-05,False,32863296,0.06879630049417418
tirex,LOOP_SEATTLE_5T,noa,5,L5,7,0.2,1.316219403237807,1.31621342561137,4.54153279447948e-06,False,16719936,0.5262293149567031
tirex,LOOP_SEATTLE_5T,noa,7,L7,5,0.1,1.2303459474197997,1.2303322795601197,1.1109079967349166e-05,False,22101056,0.37375164346919343
tirex,LOOP_SEATTLE_5T,noa,10,L10,2,0.05,1.2136091814008623,1.2136052441992253,3.244219366847471e-06,False,30172736,0.14503513623792896
tirex,LOOP_SEATTLE_5T,noa,11,L11,1,0.02,1.1968174059785888,1.1968168272722899,4.83537902955895e-07,False,32863296,0.06879630049417418
tirex,LOOP_SEATTLE_5T,probe,9,L9,3,0.2,1.0957664211876323,1.0957649043045572,1.3843143444263322e-06,False,25578272,0.2752223783832797
tirex,LOOP_SEATTLE_5T,probe,11,L11,1,0.1,1.041205325338621,1.0412078152529716,2.391371169139447e-06,False,30959392,0.12274470689577
tirex,SZ_TAXI_15T,fl,0,Emb,12,0.1;0.2,0.8337949409814078,0.8337949470991955,7.33728087720453e-09,True,3267136,0.9074234936754771
tirex,SZ_TAXI_15T,fl,3,L3,9,0.05,0.8133724685683179,0.8133724580769548,1.2898596463915548e-08,True,11338816,0.6787069864442128
tirex,SZ_TAXI_15T,fl,9,L9,3,0.02,0.783420926357819,0.7834209194883511,8.768553037753387e-09,True,27482176,0.22127397198168386
tirex,SZ_TAXI_15T,hard,10,L10,2,0.2,0.8891696294413887,0.8891696157361749,1.5413497603962738e-08,True,29910080,0.15247767148750968
tirex,SZ_TAXI_15T,noa,0,Emb,12,0.1;0.2,0.8194777807457212,0.8194777527150173,3.420557028701895e-08,True,3267136,0.9074234936754771
tirex,SZ_TAXI_15T,noa,1,L1,11,0.05,0.8048932746717958,0.8048932513402745,2.8987100267909674e-08,True,5957696,0.8311846579317224
tirex,SZ_TAXI_15T,noa,9,L9,3,0.02,0.7709176189057728,0.7709176026043713,2.114545251901902e-08,True,27482176,0.22127397198168386
tirex,SZ_TAXI_15T,probe,0,Emb,12,0.1;0.2,0.8460946712875227,0.8460946586695101,1.4913239914063865e-08,True,1363232,0.9613719000770731
tirex,SZ_TAXI_15T,probe,6,L6,6,0.05,0.812290992769438,0.8122909881712714,5.6607380620651524e-09,True,17506592,0.5039388856145441
tirex,boom_hourly,fl,9,L9,3,0.2,1.0514977360704458,1.0514953367847897,2.2817844000032167e-06,False,27482176,0.22127397198168386
tirex,boom_hourly,noa,10,L10,2,0.2,0.9990045053998047,0.9990028854808194,1.621535842216664e-06,False,30172736,0.14503513623792896
tirex,coastal_ts,fl,1,L1,11,0.1;0.2,1.218598097374726,1.218604612562214,5.3464326501092594e-06,True,5957696,0.8311846579317224
tirex,coastal_ts,fl,9,L9,3,0.05,1.4387625864959672,1.4387696859443926,4.934388383852283e-06,True,27482176,0.22127397198168386
tirex,coastal_ts,fl,11,L11,1,0.02,1.1941501352107966,1.1941581768874687,6.7341804693593936e-06,True,32863296,0.06879630049417418
tirex,coastal_ts,noa,1,L1,11,0.05;0.1;0.2,1.1972508375833664,1.1972602732710576,7.881066382837908e-06,True,5957696,0.8311846579317224
tirex,coastal_ts,noa,9,L9,3,0.02,1.186984301165399,1.1869945764386032,8.656546043288508e-06,True,27482176,0.22127397198168386
tirex,coastal_ts,probe,1,L1,11,0.1;0.2,1.2554586629589035,1.2554643935356748,4.564507604390013e-06,True,4053792,0.8851330643333182
tirex,electricity_15min,fl,9,L9,3,0.2,1.3982341273647225,1.3982953031754677,4.3750279791567986e-05,False,27482176,0.22127397198168386
tirex,electricity_15min,fl,10,L10,2,0.1,1.3677081317216053,1.367808150723138,7.312356011323826e-05,False,30172736,0.14503513623792896
tirex,electricity_15min,fl,11,L11,1,0.05,1.3104211651569242,1.3104646787869083,3.32047331671662e-05,False,32863296,0.06879630049417418
tirex,electricity_15min,noa,8,L8,4,0.2,1.371705632989545,1.3717088732697598,2.3622215164996107e-06,False,24791616,0.29751280772543864
tirex,electricity_15min,noa,10,L10,2,0.1,1.300456335734036,1.300496261934667,3.0700742323998705e-05,False,30172736,0.14503513623792896
