model,kind,depth,level,batch,n_jobs,median_ms,median_ms_min_job,median_ms_max_job,speedup_vs_native,speedup_min_job,speedup_max_job,throughput,peak_allocated_bytes,active_params
chronos2,probe_head,8,device_forward,1,3,12.864128000000001,12.680471,13.028862,1.4613419969079908,1.450090268820101,1.4833678890949713,77.73554491995104,323338240.0,78324048
chronos2,probe_head,8,device_forward,256,3,114.259335,114.23136249999999,114.31338199999999,1.4967807356834344,1.4965487242779678,1.4970842223824479,2240.5171533686944,837662720.0,78324048
chronos2,probe_head,9,api_e2e,1,3,14.933194,14.906804000000001,15.007190999999999,1.2997789193194118,1.2993421568085166,1.3035219018107433,66.96491052081691,361099776.0,87763536
chronos2,probe_head,9,api_e2e,256,3,138.8480615,138.7832325,138.98882350000002,1.309434038773628,1.309148928953538,1.3096282002222424,1843.7419812303249,876535808.0,87763536
chronos2,probe_head,9,device_forward,1,3,14.303977,14.286621,14.4031685,1.3150051555591848,1.3117270689431981,1.3158388187101764,69.91062695360878,361097216.0,87763536
chronos2,probe_head,9,device_forward,256,3,128.07072399999998,128.009734,128.1004345,1.335479826182791,1.3353650714116365,1.3359450500850192,1998.8955477443853,875421696.0,87763536
timesfm3,adapter,0,api_e2e,1,3,70.62304449999999,66.82955799999999,72.11630600000001,1.384439505262513,1.3811157773012748,1.4033449390762094,14.159684095748663,26997760.0,4507456
timesfm3,adapter,0,api_e2e,256,3,77.242048,74.39635100000001,78.54361700000001,5.943253110015933,5.925585251567927,6.137790192156064,3314.2570222892073,135107072.0,4507456
timesfm3,adapter,0,device_forward,1,3,20.2937345,20.1216345,20.4379475,2.4310984994946288,2.4214055821022002,2.4494974053921914,49.27629264096266,26995712.0,4507456
timesfm3,adapter,0,device_forward,256,3,20.596903,20.5412915,20.8555495,19.403574751019605,19.16448247983109,19.449085662408322,12429.05304744116,134582784.0,4507456
timesfm3,adapter,1,api_e2e,1,3,71.0678135,67.196074,72.8419875,1.3724722373793026,1.3706471559414823,1.3956904982276197,14.071067488237837,93099520.0,20899616
timesfm3,adapter,1,api_e2e,256,3,98.70240799999999,89.972826,101.057446,4.651041968499897,4.605468641073712,5.075190074612084,2593.6550605735983,337513472.0,20899616
timesfm3,adapter,1,device_forward,1,3,21.656273499999998,21.533932,21.788885,2.28195027271378,2.2620657963911417,2.2943311784458214,46.175996068760405,93097472.0,20899616
timesfm3,adapter,1,device_forward,256,3,34.510723,34.4177295,34.5615215,11.581496365636848,11.563540308837387,11.607661045740974,7417.984259558978,336989184.0,20899616
timesfm3,adapter,10,api_e2e,1,3,82.319664,82.1535075,84.02359,1.187272509332605,1.1392772691589217,1.1882456224496003,12.147765812066483,683329024.0,168429056
timesfm3,adapter,10,api_e2e,256,3,267.2787515,264.79930149999996,273.096051,1.7084380667649146,1.7042241980276749,1.7336489915174496,957.8015407633329,951985664.0,168429056
timesfm3,adapter,10,device_forward,1,3,34.906867000000005,34.506668000000005,35.1054285,1.415355562459521,1.411982676646403,1.4240540987614334,28.64765835329764,683326976.0,168429056
timesfm3,adapter,10,device_forward,256,3,207.9403825,207.826923,207.9726305,1.9221173309133448,1.9216641441672777,1.9223175334217886,1231.122098181194,951461376.0,168429056
