model,arm,budget,includes_low_skill,n_datasets,n_cut,n_no_cut,n_within_budget_test_cut,median_fraction_blocks_removed,median_speedup_e2e_b1,median_speedup_e2e_b256,cut_degradation_q25,cut_degradation_median,cut_degradation_q75
timesfm3,noa,0.2,True,14,11,3,9,0.07500000000000001,1.0166938282675042,1.0643271525313591,0.0622320521841212,0.10194897025358896,0.15708990184046123
timesfm3,probe,0.02,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,probe,0.05,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,probe,0.1,True,14,4,10,1,0.0,1.0,1.0,0.12388464187108472,0.14489212372125904,0.16005374936462802
timesfm3,probe,0.2,True,14,7,7,5,0.075,1.0239208662472405,1.0748090936027632,0.11911024222744138,0.14302361302604916,0.18285170735083212
timesfm3,ra,0.02,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,ra,0.05,True,14,0,14,0,0.0,1.0,1.0,,,
timesfm3,ra,0.1,True,14,2,12,1,0.0,1.0,1.0,0.07041258972146702,0.09951818786299227,0.12862378600451752
timesfm3,ra,0.2,True,14,6,8,3,0.0,1.0,1.0,0.16630989385390677,0.20418314729014186,0.23272083835917612
tirex,fl,0.02,True,14,6,8,2,0.0,1.0,1.0,0.017786903102625207,0.025762396038948587,0.04867769661983884
tirex,fl,0.05,True,14,10,4,3,0.08333333333333333,1.0921829826529053,1.0873720184941127,0.04825936803697439,0.05854966266277051,0.06815562631328409
tirex,fl,0.1,True,14,12,2,9,0.16666666666666666,1.2084424061714134,1.1933197569250569,0.05369539662670397,0.08220047807775843,0.09952900740062254
tirex,fl,0.2,True,14,14,0,12,0.5833333333333334,3.7257630426218262,3.4548168715020227,0.07907082814902361,0.10432847273182766,0.15035853753441042
tirex,hard,0.02,True,14,0,14,0,0.0,1.0,1.0,,,
tirex,hard,0.05,True,14,0,14,0,0.0,1.0,1.0,,,
tirex,hard,0.1,True,14,0,14,0,0.0,1.0,1.0,,,
tirex,hard,0.2,True,14,1,13,1,0.0,1.0,1.0,0.15997338021161833,0.15997338021161833,0.15997338021161833
tirex,noa,0.02,True,14,6,8,3,0.0,1.0,1.0,0.008380895103332342,0.02365996121346836,0.033712962308963146
tirex,noa,0.05,True,14,9,5,5,0.125,1.1503126944121593,1.140345887709585,0.01360958279115021,0.049087367757105316,0.057808798734853895
tirex,noa,0.1,True,14,13,1,10,0.33333333333333337,1.5243615910321375,1.504545846373761,0.04797491850891733,0.06905629927316737,0.09112555685942847
