condition,metric,target,stage,layer,drift_1_minus_cka,probe_change
domain,d_fslot_quantile_loss,SG-Carpark,late,L10,0.001401245099998838,-0.018759091695149666
domain,d_fslot_quantile_loss,SG-Carpark,late,L11,0.001513465917897694,-0.002095182736714829
domain,d_fslot_quantile_loss,SG-Carpark,late,L12,0.002800987595197202,0.005486329396565681
domain,d_fslot_quantile_loss,SG-Carpark,late,L12+LN,0.0006962961034265858,-0.04202473163604736
domain,d_fslot_quantile_loss,Coastal-TS,early,Emb,3.771351786419075e-08,-3.655751545927899e-06
domain,d_fslot_quantile_loss,Coastal-TS,early,L1,0.00037548658284902725,-0.008525689442952622
domain,d_fslot_quantile_loss,Coastal-TS,early,L2,0.0004128909839800077,0.004392544428507339
domain,d_fslot_quantile_loss,Coastal-TS,early,L3,0.0003746678526338476,0.020964066187540542
domain,d_fslot_quantile_loss,Coastal-TS,early,L4,0.00039354998594831603,0.011593023935954072
domain,d_fslot_quantile_loss,Coastal-TS,early,L5,0.0006453823341336928,0.0016621748606366893
domain,d_fslot_quantile_loss,Coastal-TS,early,L6,0.0013175329143668701,-0.013817707697550308
domain,d_fslot_quantile_loss,Coastal-TS,early,L7,0.001658812680382371,0.006695350011189483
domain,d_fslot_quantile_loss,Coastal-TS,early,L8,0.002746144212444568,-0.08234071731567383
domain,d_fslot_quantile_loss,Coastal-TS,early,L9,0.007575015827855025,-0.06250397364298488
domain,d_fslot_quantile_loss,Coastal-TS,early,L10,0.010742635604153672,-0.012253363927205552
domain,d_fslot_quantile_loss,Coastal-TS,early,L11,0.00987597678496932,-0.013712803522746064
domain,d_fslot_quantile_loss,Coastal-TS,early,L12,0.013798200656399584,-0.02893034617106105
domain,d_fslot_quantile_loss,Coastal-TS,early,L12+LN,0.017521859953640972,-0.043534358342488755
domain,d_fslot_quantile_loss,Coastal-TS,late,Emb,5.9073393399167173e-08,-0.00022236506144235335
domain,d_fslot_quantile_loss,Coastal-TS,late,L1,0.000842889161806748,-0.00518099466959665
domain,d_fslot_quantile_loss,Coastal-TS,late,L2,0.0009409820209062003,-0.005242188771565903
domain,d_fslot_quantile_loss,Coastal-TS,late,L3,0.0008807097252347962,0.016336599985758316
domain,d_fslot_quantile_loss,Coastal-TS,late,L4,0.0009543342041052894,0.009190082550048828
domain,d_fslot_quantile_loss,Coastal-TS,late,L5,0.0014557421977188234,0.008342822392781724
domain,d_fslot_quantile_loss,Coastal-TS,late,L6,0.003240062678382394,-0.0045224825541176905
domain,d_fslot_quantile_loss,Coastal-TS,late,L7,0.004077610582307933,0.018872499465942383
domain,d_fslot_quantile_loss,Coastal-TS,late,L8,0.006131488623089321,-0.11014819145202637
domain,d_fslot_quantile_loss,Coastal-TS,late,L9,0.013840399742122367,-0.05539019902547171
domain,d_fslot_quantile_loss,Coastal-TS,late,L10,0.01856910440989612,0.04728436470031738
domain,d_fslot_quantile_loss,Coastal-TS,late,L11,0.017226704995034092,0.016567707061767578
domain,d_fslot_quantile_loss,Coastal-TS,late,L12,0.02497216243944078,-0.05010994275410985
domain,d_fslot_quantile_loss,Coastal-TS,late,L12+LN,0.030424279378134855,-0.04648915926615382
